Periode;org_1;org_2;org_3;sto;order_id;trouble_no;flag_exclude_all;is_duplicate_order;Wilsus
202606;AREA 4;KALIMANTAN;BALIKPAPAN;SEP;AOi4260417011400150eebba0;INC50472755;0;0;0
202606;AREA 4;MALUKU DAN PAPUA;AMBON;ABO;AOk42604240955560810f7430;INC50471627;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;LUL;AOb0260425124634415e61f40;INC50470245;0;0;0
202606;AREA 3;JATIM;MADIUN;MNZ;AOi426042401533901353e670;INC50469537;0;0;0
202606;AREA 3;JATENG-DIY;SURAKARTA;GDO;AOi4260429055638631297f40;INC50468629;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;CTD;AOi426042902443966419e1b0;INC50468565;0;0;0
202606;AREA 2;WESTERN JABOTABEK;SERANG;BLJ;AOi4260427064815007ca5380;INC50468554;0;0;0
202606;AREA 1;SUMBAGUT;PEMATANG SIANTAR;BST;AOi4260423125446999c87900;INC50468402;0;0;0
202606;AREA 1;SUMBAGTENG;PEKANBARU;ARK;PDAk4260428124813788b1cb60;INC50467709;0;0;0
202606;AREA 1;SUMBAGSEL;LAMPUNG;MGA;AOi426042303384664941f020;INC50466782;0;0;0
202606;AREA 2;CENTRAL JABOTABEK;SOUTHERN JAKARTA;JAG;AOi426042304402011914e8d0;INC50462842;0;0;0
202606;AREA 3;JATIM;SIDOARJO;KRN;AOi426042308242842494c2b0;INC50462161;0;0;0
202606;AREA 4;SULAWESI;KENDARI;KDR;AOi426042809381921882e030;INC50458197;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;AMT;AOk4260421011521534e836d0;INC50456823;0;0;0
202606;AREA 4;SULAWESI;KENDARI;MDG;AOi4260426114007371dbdca0;INC50456047;0;0;0
202606;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi4260428032126830bfc5f0;INC50455672;0;0;0
202606;AREA 1;SUMBAGTENG;PEKANBARU;PWG;AOi4260427080714551d25a10;INC50453400;0;0;0
202606;AREA 3;JATIM;SURABAYA;TNS;AOi4260425082405602c8c170;INC50452649;0;0;0
202606;AREA 2;WESTERN JABOTABEK;SERANG;SEG;AOi42604230411260670f16d0;INC50451785;0;0;0
202606;AREA 3;JATENG-DIY;YOGYAKARTA;KGD;AOi4260424090934460779cf0;INC50450285;0;0;0
202606;AREA 1;SUMBAGTENG;PADANG;TWI;AOi42604250406320985b28e0;INC50449176;0;0;0
202606;AREA 2;WESTERN JABOTABEK;SERANG;SEG;AOi4260424021929369ce89d0;INC50445593;0;0;0
