Periode;tsel_area;tsel_regional;tsel_branch;sto;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202604;AREA 3;JATIM;JEMBER;TGU;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;YOGYAKARTA;PKM;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;JEMBER;LMJ;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;SURABAYA;MYR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;SURABAYA;BKL;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;SEMARANG;SLI;PI;tanggal_manja kosong → pakai date_pi_startwork (durasi negatif di-clamp ke 0 = Comply);0,89;Comply
202604;AREA 3;JATENG;SEMARANG;SMT;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;JEMBER;BOW;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);2,91;Comply
202604;AREA 3;JATENG;YOGYAKARTA;KBU;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;SEMARANG;KDL;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;PEKALONGAN;PBG;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;YOGYAKARTA;KLS;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;MADIUN;JGO;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);4,34;Comply
202604;AREA 3;JATENG;SEMARANG;KDL;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,04;Comply
202604;AREA 3;JATIM;JEMBER;KBR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);1,12;Comply
202604;AREA 3;BALINUSRA;FLORES;RTE;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;SURABAYA;KJR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;JEMBER;KBR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);3,05;Comply
202604;AREA 3;JATENG;SURAKARTA;GLD;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,84;Comply
202604;AREA 3;JATENG;YOGYAKARTA;BTL;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;YOGYAKARTA;PGR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;SURABAYA;MYR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;JEMBER;LMJ;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;SURAKARTA;KRT;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;YOGYAKARTA;PGR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;SURAKARTA;KRT;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;JEMBER;JER;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;BALINUSRA;KUPANG;KEF;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;BALINUSRA;FLORES;KLH;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;JEMBER;KKH;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATIM;SURABAYA;KJR;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202604;AREA 3;JATENG;YOGYAKARTA;KEN;Manja;tanggal_manja tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
