Periode;tsel_area;tsel_regional;tsel_branch;sto;Order_Type;SLA_Threshold_Hours;reference_for_counting;reason_of_reference;Duration_Hours;SLA_Status
202605;TREG 2;PRIANGAN BARAT;SENTUL;CRI;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 3;BALI;DENPASAR UTARA;UBN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);50,05;Not Comply
202605;TREG 3;SURAMADU;SURABAYA SELATAN;WRU;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);9,08;Comply
202605;TREG 3;BALI;GIANYAR;GIN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);9,10;Comply
202605;TREG 2;BEKASI KARAWANG;KARAWANG;TLJ;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);33,12;Not Comply
202605;TREG 3;JATIM TIMUR;SIDOARJO;SPJ;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;BANDUNG;BANDUNG BARAT;RJW;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 1;SUMUT;KISARAN;KIS;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 4;KALBAR;SINTANG;STG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);50,17;Not Comply
202605;TREG 3;SURAMADU;SURABAYA SELATAN;JGR;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);52,18;Not Comply
202605;TREG 2;JAKARTA CENTRUM;JAKUT;MKR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);28,20;Not Comply
202605;TREG 1;SUMBAR JAMBI;SUMBAR;ULK;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 4;KALTIMTARA;SAMARINDA;SMR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);4,27;Comply
202605;TREG 2;JAKARTA OUTER;JAKSEL;BIN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 3;SURAMADU;SURABAYA UTARA;KNN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);2,32;Comply
202605;TREG 1;RIAU;DUMAI;SGP;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;BEKASI KARAWANG;BEKASI;PKY;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);81,36;Not Comply
202605;TREG 4;KALSELTENG;BANJARMASIN;ULI;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);9,39;Comply
202605;TREG 2;JAKARTA OUTER;JAKTIM;PGG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);4,39;Comply
202605;TREG 2;BANTEN;BANTEN;SEG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 3;JATIM TIMUR;JEMBER;KBS;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;BANDUNG;SUMEDANG;UBR;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 1;SUMUT;MEDAN;TJM;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 4;KALSELTENG;SAMPIT;SAI;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;JAKARTA CENTRUM;JAKPUS;KMY;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 3;SURAMADU;SURABAYA UTARA;TNS;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);2,75;Comply
202605;TREG 5;SULBAGSEL;MAKASSAR;PNK;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);33,76;Not Comply
202605;TREG 3;SURAMADU;SURABAYA SELATAN;JGR;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 3;JATIM BARAT;TUBAN;RGL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);50,83;Not Comply
202605;TREG 2;JAKARTA OUTER;JAKSEL;KAL;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);4,93;Comply
202605;TREG 1;SUMUT;SUMUT;PMS;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);5,01;Comply
202605;TREG 3;BALI;DENPASAR UTARA;UBN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);5,14;Comply
202605;TREG 2;JAKARTA OUTER;JAKSEL;KBY;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);3,17;Comply
202605;TREG 2;JAKARTA CENTRUM;JAKUT;KTZ;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);10,33;Comply
202605;TREG 1;RIAU;RIDAR;BKR;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);0,00;Comply
202605;TREG 2;PRIANGAN BARAT;KUJANG;DMG;create;48,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);10,42;Comply
202605;TREG 3;BALI;DENPASAR UTARA;UBN;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,44;Not Comply
202605;TREG 5;SULBAGTENG;GORONTALO;TLG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);27,47;Not Comply
202605;TREG 2;BANTEN;CIPUTAT;CLD;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);3,54;Comply
202605;TREG 2;BANDUNG;SUMEDANG;CJA;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);29,62;Not Comply
202605;TREG 2;BEKASI KARAWANG;CIKARANG;BGG;migrate;24,00;CustomerAssign;bima_customerassign_date tersedia (durasi negatif di-clamp ke 0 = Comply);5,71;Comply
