Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202605;AREA 3;BALI NUSRA;FLORES;LRT;AOi4260311040957400bee7e0;INC49034430;;0
202605;AREA 2;EASTERN JABOTABEK;BOGOR;PMU;AOi4260327014548785b0d9b0;INC49034211;;0
202605;AREA 3;JATIM;SIDOARJO;DLA;AOi42603171214476842b50c0;INC49033488;;0
202605;AREA 1;SUMBAGSEL;BENGKULU;TIS;AOi426031209143310022e7e0;INC49033090;;0
202605;AREA 4;SULAWESI;MAKASSAR;TKA;AOi42603091215025566aef70;INC49033088;;0
202605;AREA 3;JATENG-DIY;SEMARANG;KDL;AOi42603190719491166c5170;INC49033060;;0
202605;AREA 4;KALIMANTAN;TARAKAN;TRD;AOi4260326055725021f73400;INC49032619;;0
202605;AREA 3;BALI NUSRA;KUPANG;OSP;AOi4260321090803864817ee0;INC49031486;;0
202605;AREA 1;SUMBAGTENG;PADANG;TLB;AOk4260305012327517631410;INC49030522;;0
202605;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi426032801164982443fc80;INC49029692;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;GEU;AOi42603090243447831925c0;INC49028737;;0
202605;AREA 4;MALUKU DAN PAPUA;SORONG;NAB;AOi4260313121737204250e50;INC49025952;;0
202605;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi42603141151387704da7c0;INC49024636;;0
202605;AREA 1;SUMBAGSEL;PANGKAL PINANG;TBI;AOi4260309105135277102c30;INC49022610;;0
202605;AREA 4;MALUKU DAN PAPUA;SORONG;MWR;AOk426030709233707981b8a0;INC49022662;;0
202605;AREA 2;WESTERN JABOTABEK;SERANG;LGK;AOi4260313120606435a2d2d0;INC49018666;;0
202605;AREA 4;MALUKU DAN PAPUA;JAYAPURA;SNI;AOi1260326044828088cdd3c0;INC49018295;;0
202605;AREA 2;JABAR;SOREANG;CCL;AOi4260311121847634e15680;INC49015495;;0
202605;AREA 1;SUMBAGUT;PADANG SIDEMPUAN;SBG;AOi42603170358565871f6180;INC49015280;;0
202605;AREA 1;SUMBAGSEL;BENGKULU;MUA;AOi4260318114603518b8fa10;INC49015013;;0
202605;AREA 4;KALIMANTAN;BANJARMASIN;STI;AOi4260325054422754e0ed40;INC49014936;;0
202605;AREA 1;SUMBAGSEL;LAMPUNG;LIW;AOi42603110735223437cbbb0;INC49014885;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;GEU;AOi4260327103037250011910;INC49012162;;0
202605;AREA 3;BALI NUSRA;MATARAM;BIM;AOi4260307105259464d809a0;INC49011993;;0
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KGH;AOs32603290522579797b53c0;INC49012041;;0
202605;AREA 4;KALIMANTAN;PONTIANAK;BDO;AOi4260315102224718cbbfe0;INC49011600;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;LTM;AOi42603160329444160ef0a0;INC49011589;;0
202605;AREA 1;SUMBAGSEL;PANGKAL PINANG;MGR;AOi4260310070318883ae33c0;INC49011101;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;TJR;AOi426032710341683270e7b0;INC49010554;;0
202605;AREA 4;MALUKU DAN PAPUA;SORONG;MWR;AOi4260314113237262563f60;INC49010268;;0
202605;AREA 3;BALI NUSRA;MATARAM;TET;AOi42603140227121283e5060;INC49009598;;0
202605;AREA 4;KALIMANTAN;BALIKPAPAN;MGG;AOs326032109292976660bc40;INC49009574;;0
202605;AREA 1;SUMBAGUT;RANTAU PRAPAT;RAP;AOi426030904484616706b080;INC49009432;;0
202605;AREA 4;SULAWESI;MAKASSAR;PNK;AOi4260328120012935d63600;INC49009103;;0
202605;AREA 3;JATIM;SURABAYA;BKL;AOi426031510083594971a870;INC49008797;;0
202605;AREA 4;SULAWESI;PARE-PARE;PLP;AOi426032905393194120aaa0;INC49007886;;0
202605;AREA 3;BALI NUSRA;DENPASAR;UBN;AOk42603260435329139ed230;INC49006945;;0
202605;AREA 1;SUMBAGSEL;JAMBI;MAB;AOk42603111141468263171b0;INC49005931;;0
202605;AREA 1;SUMBAGSEL;LAMPUNG;NTR;AOi4260314085430421c7d150;INC49005457;;0
202605;AREA 3;JATENG-DIY;SEMARANG;BMK;AOi1260318073621988264340;INC49005276;;0
202605;AREA 3;JATENG-DIY;PURWOKERTO;MAN;AOi4260329064039724f34dc0;INC49004321;;0
202605;AREA 4;SULAWESI;MAKASSAR;SUD;AOs326031711314558230e940;INC49004056;;0
202605;AREA 4;SULAWESI;PALU;PLA;AOi4260316102649111c52c20;INC49003423;;0
202605;AREA 3;BALI NUSRA;DENPASAR;BTR;AOi4260325012012438917950;INC49001962;;0
202605;AREA 4;MALUKU DAN PAPUA;SORONG;MWR;AOi42603140447389969d6740;INC49000909;;0
202605;AREA 4;KALIMANTAN;PANGKALAN BUN;KTP;AOi426031209371511783c220;INC48998864;;0
202605;AREA 1;SUMBAGUT;PEMATANG SIANTAR;PDN;AOi4260313020454826079230;INC48998569;;0
202605;AREA 3;BALI NUSRA;MATARAM;TET;AOi42603250758336193dfa20;INC48996829;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;BNN;AOi4260305021048388cd4c50;INC48995052;;0
202605;AREA 2;EASTERN JABOTABEK;BOGOR;CBI;AOi1260312014359217962990;INC48993491;;0
202605;AREA 4;MALUKU DAN PAPUA;AMBON;PAO;AOi4260323014300211747a20;INC48991629;;0
202605;AREA 2;JABAR;TASIKMALAYA;PMP;AOi4260316023708331bb0390;INC48990198;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;BPD;AOi4260312030251357ef49b0;INC48987922;;0
202605;AREA 1;SUMBAGSEL;PANGKAL PINANG;JBS;AOi4260309050127141f8d020;INC48987821;;0
202605;AREA 3;JATIM;SURABAYA;OMB;AOi42603220652337875fde50;INC48986224;;0
202605;AREA 4;KALIMANTAN;PALANGKARAYA;KKN;AOi4260307024644748c53970;INC48985562;;0
202605;AREA 4;KALIMANTAN;BANJARMASIN;BRI;AOb02603241205504930376e0;INC48984771;;0
202605;AREA 3;BALI NUSRA;MATARAM;BIM;AOk42603050846406505f4e40;INC48983992;;0
202605;AREA 3;BALI NUSRA;MATARAM;TLW;AOi42603260825241284392c0;INC48983266;;0
202605;AREA 3;BALI NUSRA;DENPASAR;SWI;AOi4260307080641668d52c80;INC48982894;;0
202605;AREA 4;MALUKU DAN PAPUA;SORONG;SON;AOi4260311090509685c08930;INC48982626;;0
202605;AREA 3;JATIM;SURABAYA;BAB;AOi4260326081135504748750;INC48982209;;0
202605;AREA 1;SUMBAGSEL;LAMPUNG;WJA;AOi1260329063344294fd4990;INC48981884;;0
202605;AREA 4;KALIMANTAN;BANJARMASIN;BBR;AOs326032809552685354cb90;INC48981726;;0
202605;AREA 3;BALI NUSRA;MATARAM;MTR;AOi4260330122152181e37420;INC48981658;;0
202605;AREA 4;SULAWESI;MANADO;TNT;AOi42603260856371149b03d0;INC48981482;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;TJM;AOi42603230457291555d7e40;INC48981259;;0
202605;AREA 4;KALIMANTAN;PALANGKARAYA;PRC;AOi4260322125901767175a90;INC48980908;;0
202605;AREA 4;SULAWESI;KENDARI;UNH;AOi4260327083234448d20000;INC48980330;;0
202605;AREA 3;JATIM;SIDOARJO;GDA;AOi4260310073040954a64a70;INC48980235;;0
202605;AREA 4;KALIMANTAN;BANJARMASIN;ULI;AOi4260328015419397eab400;INC48976160;;0
202605;AREA 4;KALIMANTAN;BANJARMASIN;BJM;AOi426030801504267291aba0;INC48975950;;0
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi42603130319593952f5910;INC48975832;;0
202605;AREA 4;KALIMANTAN;BALIKPAPAN;AGN;AOi42603311135143412570f0;INC48975597;;0
